label,exposure_spline,mean,lower,upper,age,outcome
cvd_ihd_25,0,1,1,1,25,ihd
cvd_ihd_25,0.01,1.00038748513857,1.00018595723442,1.00074875546627,25,ihd
cvd_ihd_25,0.02,1.00077489563486,1.00037191034859,1.00149729007262,25,ihd
cvd_ihd_25,0.03,1.00116223149991,1.00055785933786,1.00224560385353,25,ihd
cvd_ihd_25,0.04,1.00154949274475,1.00074380419759,1.00299369684346,25,ihd
cvd_ihd_25,0.05,1.00193667938041,1.00092974492313,1.00374156907688,25,ihd
cvd_ihd_25,0.06,1.00232379141791,1.00111568150985,1.00448922058827,25,ihd
cvd_ihd_25,0.07,1.00271082886829,1.00130161395311,1.00523665141209,25,ihd
cvd_ihd_25,0.08,1.00309779174257,1.00148754224826,1.00598386158282,25,ihd
cvd_ihd_25,0.09,1.0034846800518,1.00167346639065,1.00673085113492,25,ihd
cvd_ihd_25,0.1,1.00387149380699,1.00185938637566,1.00747762010286,25,ihd
cvd_ihd_25,0.11,1.00425823301917,1.00204530219862,1.00822416852112,25,ihd
cvd_ihd_25,0.12,1.00464489769938,1.00223121385491,1.00897049642416,25,ihd
cvd_ihd_25,0.13,1.00503148785865,1.00241712133988,1.00971660384646,25,ihd
cvd_ihd_25,0.14,1.00541800350801,1.00260302464888,1.01046249082248,25,ihd
cvd_ihd_25,0.15,1.00580444465848,1.00278892377728,1.01120815738669,25,ihd
cvd_ihd_25,0.16,1.0061908113211,1.00297481872043,1.01195360357357,25,ihd
cvd_ihd_25,0.17,1.00657710350689,1.00316070947369,1.01269882941759,25,ihd
cvd_ihd_25,0.18,1.00696332122689,1.00334659603242,1.01344383495321,25,ihd
cvd_ihd_25,0.19,1.00734946449213,1.00353247839198,1.0141886202149,25,ihd
cvd_ihd_25,0.2,1.00773553331364,1.00371835654772,1.01493310243762,25,ihd
cvd_ihd_25,0.21,1.00812152770244,1.003904230495,1.0156771880929,25,ihd
cvd_ihd_25,0.22,1.00850744766956,1.00409010022918,1.01642102936071,25,ihd
cvd_ihd_25,0.23,1.00889329322605,1.00427596574561,1.01716462628519,25,ihd
cvd_ihd_25,0.24,1.00927906438292,1.00446182703966,1.01790797891047,25,ihd
cvd_ihd_25,0.25,1.0096647611512,1.00464768410668,1.01865108728067,25,ihd
cvd_ihd_25,0.26,1.01005038354193,1.00483353694203,1.01939395143994,25,ihd
cvd_ihd_25,0.27,1.01043593156614,1.00501938554106,1.02013657143239,25,ihd
cvd_ihd_25,0.28,1.01082140523486,1.00520522989915,1.02087894730218,25,ihd
cvd_ihd_25,0.29,1.01120680455911,1.00539107001163,1.02162107909342,25,ihd
cvd_ihd_25,0.3,1.01159212954993,1.00557690587387,1.02236296685025,25,ihd
cvd_ihd_25,0.31,1.01197738021834,1.00576273748124,1.0231046106168,25,ihd
cvd_ihd_25,0.32,1.01236255657538,1.00594856482907,1.02384601043721,25,ihd
cvd_ihd_25,0.33,1.01274765863208,1.00613438791274,1.0245871663556,25,ihd
cvd_ihd_25,0.34,1.01313268639946,1.00632020672761,1.02532807841611,25,ihd
cvd_ihd_25,0.35,1.01351763988856,1.00650602126902,1.02606874666288,25,ihd
cvd_ihd_25,0.36,1.0139025191104,1.00669183153233,1.02680917114002,25,ihd
cvd_ihd_25,0.37,1.01428732407602,1.00687763751291,1.02754935189169,25,ihd
cvd_ihd_25,0.38,1.01467205479645,1.00706343920611,1.028289288962,25,ihd
cvd_ihd_25,0.39,1.01505671128271,1.0072492366073,1.02902898239509,25,ihd
cvd_ihd_25,0.4,1.01544129354584,1.00743502971181,1.02976843223509,25,ihd
cvd_ihd_25,0.41,1.01582580159686,1.00762081851503,1.03050763852614,25,ihd
cvd_ihd_25,0.42,1.01621023544681,1.00780660301229,1.03124660131236,25,ihd
cvd_ihd_25,0.43,1.01659459510672,1.00799238319897,1.0319853206379,25,ihd
cvd_ihd_25,0.44,1.01697888058761,1.00817815907041,1.03272379654687,25,ihd
cvd_ihd_25,0.45,1.01736309190051,1.00836393062198,1.03346202908342,25,ihd
cvd_ihd_25,0.46,1.01774722905647,1.00854969784903,1.03420001829167,25,ihd
cvd_ihd_25,0.47,1.0181312920665,1.00873546074693,1.03493776421577,25,ihd
cvd_ihd_25,0.48,1.01851528094163,1.00892121931102,1.03567526689983,25,ihd
cvd_ihd_25,0.49,1.0188991956929,1.00910697353666,1.03641252638799,25,ihd
cvd_ihd_25,0.5,1.01928303633134,1.00929272341923,1.03714954272439,25,ihd
cvd_ihd_25,0.51,1.01966680286797,1.00947846895406,1.03788631595316,25,ihd
cvd_ihd_25,0.52,1.02005049531383,1.00966421013652,1.03862284611843,25,ihd
cvd_ihd_25,0.53,1.02043411367994,1.00984994696197,1.03935913326433,25,ihd
cvd_ihd_25,0.54,1.02081765797734,1.01003567942576,1.04009517743499,25,ihd
cvd_ihd_25,0.55,1.02120112821706,1.01022140752326,1.04083097867455,25,ihd
cvd_ihd_25,0.56,1.02158452441012,1.01040713124982,1.04156653702713,25,ihd
cvd_ihd_25,0.57,1.02196784656755,1.01059285060079,1.04230185253688,25,ihd
cvd_ihd_25,0.58,1.02235109470039,1.01077856557154,1.04303692524792,25,ihd
cvd_ihd_25,0.59,1.02273426881967,1.01096427615742,1.04377175520439,25,ihd
cvd_ihd_25,0.6,1.02311736893641,1.01114998235379,1.04450634245041,25,ihd
cvd_ihd_25,0.61,1.02350039506165,1.01133568415602,1.04524068703012,25,ihd
cvd_ihd_25,0.62,1.02388334720642,1.01152138155944,1.04597478898765,25,ihd
